Job Satisfaction,Salary,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Year,Latitude,Longitude
5,69400,"Kansas City, MO, US",Designer,Corporate,501+,Yes,Paid Overtime,,,Full-time,1,26-30,Female,No,,,,2024,39.100105,-94.5781416
8,105000,"Wisconsin, US",Project Manager,Individual,51-100,Yes,No Overtime,,,Full-time,8-10,31-35,Male,No,,,,2024,44.4308975,-89.6884637
6,88000,"Austin, TX, US",Designer,Other,51-100,Yes,Unpaid Overtime,15.0,"7,000",Full-time,6-7,36-40,Male,No,University of Wisconsin-Milwaukee,University of Michigan,,2024,30.2711286,-97.7436995
3,150000,"New York, NY, US",Interior Designer,Other,101-200,Yes,No Overtime,10.0,"10,000",Full-time,31-40,51-55,Female,Licensed,University of Cincinnati,,,2024,40.7127281,-74.0060152
6,55000,"Austin, TX, US",Designer,Corporate,501+,Yes,,15.0,,Full-time,2,26-30,Female,No,Texas A&M University,Texas A&M University,,2024,30.2711286,-97.7436995
8,109000,"Omaha, NE, US",Project Manager,Corporate,31-50,Yes,No Overtime,15.0,"27,000",Full-time,16-20,36-40,Male,Licensed,University of Nebraska-Lincoln,,,2024,41.2587459,-95.9383758
9,63250,"Washington, DC, US",Interior Architect,Corporate,201-500,Yes,Unpaid Overtime,,"2,000",Full-time,< 1,26-30,Female,No,George Washington University,George Washington University,,2024,38.8950368,-77.0365427
9,110000,"Chicago, IL, US",Senior Architect,Corporate,51-100,Yes,Unpaid Overtime,32.0,"5,000",Full-time,21-25,51-55,Male,Licensed,University of Detroit Mercy,,,2024,41.8755616,-87.6244212
6,75000,"Washington, DC, US",Interior Architect,,11-15,Yes,,,,,1,26-30,Female,No,,,,2024,38.8950368,-77.0365427
7,85000,"New York, NY, US",Project Architect,Boutique,2-5,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,Licensed,Cornell University,,,2024,40.7127281,-74.0060152
