 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
6037,4,45000,year,"New York, NY, US",Junior Architect,Boutique,6-10,,Unpaid Overtime,10.0,,Full-time,3,26-30,Male,No,,,,2014-08-01,2014
6036,7,46000,year,"Washington, DC, US",Junior Designer,,11-15,Yes,,,,,3,21-25,Male,No,University of Maryland,,,2014-08-01,2014
6035,7,52000,hour,"Fresno, CA, US",Designer,,11-15,Yes,Paid Overtime,10.0,,Full-time,8-10,31-35,Female,Licensed,,,,2014-08-01,2014
6033,8,52000,year,"Denver, CO, US",Junior Architect,Boutique,31-50,Yes,Unpaid Overtime,14.0,"4,000",Full-time,3-5,36-40,Male,Licensed,,The University of Texas at Austin,,2014-08-01,2014
6032,8,60000,year,"New York, NY, US",Designer,Boutique,6-10,Yes,No Overtime,10.0,,Full-time,2,26-30,Male,No,,,,2014-08-01,2014
6031,8,95000,year,"New York, NY, US",Senior Architect,Boutique,2-5,,No Overtime,14.0,,Full-time,11-15,41-45,Male,Licensed,Allegheny College,University of Pennsylvania,,2014-08-01,2014
6030,10,47000,year,"Berkeley, CA, US",Digital Fabricator,Individual,6-10,Yes,No Overtime,5.0,,Full-time,1,21-25,Male,No,"University of California, Berkeley",,,2014-08-01,2014
6029,8,50000,year,"New York, NY, US",Interior Designer,Other,101-200,Yes,Unpaid Overtime,15.0,,Full-time,3-5,26-30,Female,No,,,,2014-08-01,2014
6028,7,55000,year,"New York, NY, US",Designer,Boutique,16-30,Yes,No Overtime,10.0,"10,000",Full-time,1,26-30,Female,No,,,,2014-08-01,2014
6027,7,56000,year,"New York, NY, US",Senior Designer,Boutique,16-30,Yes,No Overtime,10.0,,Full-time,6-7,26-30,Male,Licensed,"Fashion Institute of Technology, State University of New York",,,2014-08-01,2014
6026,7,45000,year,"Washington, DC, US",Junior Designer,Corporate,201-500,Yes,Paid Overtime,14.0,"3,000",Full-time,< 1,21-25,Female,No,University of Maryland,University of Maryland,,2014-08-01,2014
6025,7,59000,year,"Detroit, MI, US",Designer,Corporate,51-100,Yes,Unpaid Overtime,18.0,,Full-time,6-7,36-40,Male,No,,,,2014-08-01,2014
6024,8,48000,year,"Washington, DC, US",Junior Architect,Corporate,16-30,Yes,Unpaid Overtime,10.0,"1,500",Full-time,3-5,31-35,Male,No,The Catholic University of America,,,2014-08-01,2014
6022,6,44700,year,"Washington, DC, US",Junior Architect,,6-10,,Paid Overtime,,,Full-time,1,21-25,Female,No,,,,2014-08-01,2014
6021,7,50000,year,"New York, NY, US",Intermediate Designer,Corporate,31-50,Yes,Unpaid Overtime,20.0,"4,000",Full-time,3,21-25,Female,No,New York Institute of Technology (NYIT),,,2014-08-01,2014
6020,6,70000,year,"Washington, DC, US",Interior Architect,Other,16-30,Yes,Unpaid Overtime,10.0,"3,000",Full-time,8-10,36-40,Female,No,Virginia Polytechnic Institute and State University (Virginia Tech),,,2014-08-01,2014
6019,8,55000,year,"Hauppauge, NY, US",Junior Architect,Corporate,16-30,Yes,No Overtime,10.0,"3,000",Full-time,3-5,26-30,Female,No,Lehigh University,University of Maryland,,2014-08-01,2014
6018,9,75000,year,"Washington, DC, US",Project Manager,Corporate,16-30,Yes,No Overtime,10.0,,Full-time,3,21-25,Female,No,,,,2014-08-01,2014
6017,1,80000,year,"Washington, DC, US",Project Manager,Other,11-15,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Female,Licensed,Carnegie Mellon University,,,2014-08-01,2014
6016,8,99000,year,"Washington, DC, US",Project Manager,Other,31-50,Yes,,15.0,,Full-time,8-10,31-35,Male,Licensed,The University of Kansas,Columbia University,,2014-08-01,2014
6015,10,180000,year,"Hartford, CT, US",Principal,Corporate,101-200,,Unpaid Overtime,15.0,,Full-time,26-30,56-60,Male,Licensed,,University of Pennsylvania,,2014-08-01,2014
6014,5,38500,year,"Fort Worth, TX, US",Intern,,11-15,Yes,Unpaid Overtime,,,,2,21-25,Female,No,University of Houston,,,2014-08-01,2014
6011,9,48000,year,"Washington, DC, US",Junior Architect,,11-15,,,,,,3-5,31-35,Female,No,,,,2014-08-01,2014
6009,7,61000,year,"Washington, DC, US",Designer,Corporate,101-200,Yes,No Overtime,10.0,,Full-time,6-7,26-30,Male,Licensed,Miami University,Washington University in St. Louis,,2014-08-01,2014
6008,4,55000,year,"Princeton, NJ, US",Project Architect,Boutique,2-5,,Paid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,New Jersey Institute of Technology (NJIT),,,2014-08-01,2014
6007,10,82000,year,"New York, NY, US",Project Architect,Corporate,501+,Yes,Paid Overtime,15.0,"5,000",Full-time,8-10,31-35,Male,Licensed,,,,2014-08-01,2014
6005,7,134000,year,"Philadelphia, PA, US",Project Manager,Corporate,501+,Yes,No Overtime,20.0,,Full-time,16-20,46-50,Male,Licensed,,,,2014-08-01,2014
6004,4,56000,year,"Washington, DC, US",Project Manager,Individual,6-10,Yes,Unpaid Overtime,10.0,0,Full-time,3-5,31-35,Female,No,University at Buffalo,,,2014-08-01,2014
6003,5,36000,year,"New Orleans, LA, US",Intermediate Architect,Other,2-5,Yes,Unpaid Overtime,,500,Full-time,1,21-25,Male,No,Louisiana State University,,,2014-08-01,2014
6002,3,81600,year,"New York, NY, US",Project Manager,Other,201-500,Yes,No Overtime,10.0,,Full-time,11-15,41-45,Male,No,Georgia Institute of Technology,Rice University,,2014-08-01,2014
6001,8,72500,year,"Washington, DC, US",Associate,Corporate,501+,Yes,No Overtime,,,Full-time,8-10,31-35,Male,Licensed,,,,2014-08-01,2014
6000,7,68000,year,"Pullman, WA, US",Project Manager,Other,31-50,,No Overtime,22.0,,Full-time,11-15,46-50,Female,No,Washington State University,,,2014-08-01,2014
5999,6,65000,year,"Orlando, FL, US",Associate,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,11-15,31-35,Male,Licensed,University of Florida,University of Florida,,2014-08-01,2014
5997,9,72275,year,"Dallas, TX, US",Technical Architect,Other,101-200,Yes,No Overtime,19.0,,Full-time,11-15,31-35,Male,No,Texas Tech University,Texas Tech University,,2014-08-01,2014
5996,6,62500,year,"Seattle, WA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,,,,8-10,31-35,Female,Licensed,,,,2014-08-01,2014
5995,8,42000,year,"Dallas, TX, US",Intern,Individual,11-15,,Unpaid Overtime,14.0,,Full-time,1,21-25,Male,No,Texas Tech University,,,2014-08-01,2014
5994,5,82000,year,"Los Angeles, CA, US",Project Manager,Other,6-10,Yes,Unpaid Overtime,10.0,,Full-time,16-20,41-45,Female,Licensed,"California State Polytechnic University, Pomona",,,2014-08-01,2014
5993,1,85000,year,"Atlanta, GA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,Auburn University,,,2014-08-01,2014
5992,10,60000,year,"Los Angeles, CA, US",Job Captain,Corporate,16-30,Yes,Unpaid Overtime,10.0,"1,000",Full-time,3-5,26-30,Male,No,University of Southern California (USC),,,2014-08-01,2014
5991,9,85000,year,"Tacoma, WA, US",Project Manager,Boutique,31-50,Yes,Unpaid Overtime,10.0,"10,000",Full-time,16-20,36-40,Male,Licensed,Washington State University,,,2014-08-01,2014
5990,5,63000,year,"Boston, MA, US",Job Captain,Corporate,501+,Yes,Unpaid Overtime,15.0,"2,500",Full-time,8-10,31-35,Female,Licensed,,,,2014-08-01,2014
5989,7,33280,hour,"Miami, FL, US",Junior Architect,Individual,11-15,Yes,Paid Overtime,16.0,500,Full-time,3-5,31-35,Male,No,Miami Dade College,Florida International University,,2014-08-01,2014
5988,7,70000,year,"New York, NY, US",Senior Designer,Other,101-200,Yes,Unpaid Overtime,15.0,"7,000",Full-time,3-5,31-35,Male,No,The Cooper Union,Yale University,,2014-08-01,2014
5987,3,63000,year,"Princeton, NJ, US",Associate,Other,11-15,Yes,Unpaid Overtime,15.0,"2,000",Full-time,11-15,31-35,Female,Licensed,,,,2014-08-01,2014
5986,7,48000,year,"Los Angeles, CA, US",Designer,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,3-5,26-30,Male,No,"California State University, Long Beach (CSULB)",,,2014-08-01,2014
5985,5,40000,year,"Albuquerque, NM, US",Intern,Boutique,6-10,Yes,Unpaid Overtime,14.0,,Full-time,6-7,26-30,Female,No,The University of New Mexico,The University of New Mexico,,2014-08-01,2014
5984,5,95000,year,"New York, NY, US",Senior Architect,Boutique,6-10,,Unpaid Overtime,10.0,,Full-time,21-25,46-50,Female,Licensed,,,,2014-08-01,2014
5982,2,45000,year,"Washington, DC, US",Designer,Corporate,6-10,Yes,,,,Full-time,< 1,36-40,Male,No,,,,2014-08-01,2014
5980,7,70000,year,"New York, NY, US",Associate,Corporate,501+,Yes,Unpaid Overtime,17.0,"10,000",Full-time,6-7,26-30,Male,No,,,,2014-08-01,2014
5979,8,68000,year,"Delaware, US",Junior Architect,Boutique,6-10,Yes,Unpaid Overtime,15.0,,Full-time,3-5,26-30,Male,No,,,,2014-08-01,2014
5978,8,45000,year,"Boston, MA, US",Junior Architect,Other,2-5,Yes,No Overtime,10.0,"1,500",Full-time,3,26-30,Male,No,Wentworth Institute of Technology,Wentworth Institute of Technology,,2014-08-01,2014
5977,7,72000,year,"Tampa, FL, US",Project Architect,Corporate,31-50,Yes,Unpaid Overtime,15.0,"5,000",Full-time,11-15,46-50,Male,Licensed,,University of South Florida,,2014-08-01,2014
5976,7,55000,year,"Austin, TX, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,14.0,"4,000",Full-time,3-5,31-35,Female,No,,,,2014-08-01,2014
5975,7,45000,year,"New York, NY, US",Junior Architect,Other,31-50,Yes,Unpaid Overtime,12.0,,Full-time,< 1,21-25,Male,No,,,,2014-08-01,2014
5973,7,65000,year,"Chicago, IL, US",Project Manager,Boutique,11-15,Yes,No Overtime,15.0,,Full-time,6-7,31-35,Female,Licensed,University of Michigan,University of Michigan,,2014-08-01,2014
5972,7,57000,year,"Los Angeles, CA, US",Designer,Boutique,16-30,Yes,No Overtime,10.0,,Full-time,3-5,31-35,Male,No,Williams College,Harvard University,,2014-08-01,2014
5971,7,70000,year,"San Francisco, CA, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,15.0,,Full-time,6-7,31-35,Female,No,Savannah College of Art and Design,Savannah College of Art and Design,,2014-08-01,2014
5970,6,48500,year,"Philadelphia, PA, US",Junior Architect,,51-100,Yes,No Overtime,,,Full-time,2,26-30,Male,No,,,,2014-08-01,2014
5968,8,41600,hour,"Houston, TX, US",Draftsperson,Individual,2-5,,No Overtime,,,Full-time,< 1,26-30,Male,No,University of Houston,,,2014-08-01,2014
5967,7,50000,year,"San Jose, CA, US",Job Captain,Corporate,501+,Yes,Paid Overtime,,"7,000",Full-time,3-5,26-30,Male,No,,,,2014-08-01,2014
5966,6,52000,year,"Philadelphia, PA, US",Designer,Corporate,31-50,Yes,Unpaid Overtime,10.0,"2,500",Full-time,3-5,21-25,Female,No,,,,2014-08-01,2014
5965,5,90000,year,"Portland, OR, US",Visualization Artist,Corporate,501+,Yes,Unpaid Overtime,15.0,,,11-15,41-45,Male,No,,,,2014-08-01,2014
5964,6,58760,year,"New York, NY, US",Junior Architect,Starchitect,31-50,Yes,Unpaid Overtime,20.0,400,Full-time,3-5,31-35,Female,No,,,,2014-08-01,2014
5963,10,80000,year,"New York, NY, US",Senior Architect,Other,51-100,Yes,Unpaid Overtime,10.0,"6,500",Full-time,11-15,41-45,Male,No,Syracuse University,Pratt Institute,,2014-08-01,2014
5962,8,50000,year,"Dallas, TX, US",Intern,Boutique,6-10,Yes,Unpaid Overtime,17.0,"5,000",Full-time,2,36-40,Female,No,,The University of Texas at Arlington,,2014-08-01,2014
5961,1,52000,year,"Culver City, CA, US",Senior Designer,Boutique,2-5,,Unpaid Overtime,10.0,,Full-time,6-7,31-35,Male,No,"California Polytechnic State University, San Luis Obispo",,,2014-08-01,2014
5960,7,52600,year,"New Jersey, US",Project Architect,,51-100,Yes,,,750,,8-10,31-35,Male,Licensed,,,,2014-08-01,2014
5959,7,44000,year,"Austin, TX, US",Intern,Corporate,501+,Yes,Unpaid Overtime,8.0,,Full-time,3,21-25,Female,No,The University of Texas at Austin,,,2014-08-01,2014
5958,6,38000,year,"New York, NY, US",Junior Designer,Other,2-5,Yes,Unpaid Overtime,14.0,,Full-time,2,21-25,Female,No,University of Washington,,,2014-08-01,2014
5957,7,52000,year,"Los Angeles, CA, US",Designer,Boutique,51-100,Yes,Unpaid Overtime,21.0,"3,000",Full-time,3-5,26-30,Male,No,,University of Michigan,,2014-08-01,2014
5956,10,65000,year,"Portland, OR, US",Project Architect,Boutique,31-50,Yes,Paid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,,Arizona State University,,2014-08-01,2014
5955,8,80000,year,"San Diego, CA, US",Engineer,Corporate,501+,Yes,Unpaid Overtime,14.0,"5,000",Full-time,3-5,26-30,Male,No,"California State University, Fullerton",,,2014-08-01,2014
5954,9,48000,year,"Aurora, IL, US",Junior Architect,,31-50,Yes,,10.0,,,3-5,26-30,Male,No,Illinois Institute of Technology (IIT),,,2014-08-01,2014
5953,4,54000,year,"San Francisco, CA, US",Designer,Corporate,2-5,,Unpaid Overtime,,,Full-time,6-7,36-40,Male,No,,,,2014-08-01,2014
5952,8,40000,year,"Minneapolis, MN, US",Partner,Boutique,2-5,,Unpaid Overtime,10.0,"3,000",Full-time,8-10,31-35,Male,No,University of Wisconsin–Madison,University of Minnesota,,2014-08-01,2014
5951,9,45000,year,"Morristown, NJ, US",Intermediate Architect,Corporate,501+,Yes,Paid Overtime,14.0,"7,500",Full-time,3-5,26-30,Male,Licensed,New Jersey Institute of Technology (NJIT),New Jersey Institute of Technology (NJIT),New Jersey Institute of Technology (NJIT),2014-08-01,2014
5949,3,46300,year,"Boston, MA, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,10.0,"1,500",Full-time,3-5,36-40,Female,No,,,,2014-08-01,2014
5948,5,72705,year,"Boston, MA, US",Project Architect,Boutique,51-100,Yes,Paid Overtime,15.0,,Full-time,11-15,36-40,Female,No,Boston University,Boston Architectural College (BAC),,2014-08-01,2014
5947,6,74000,year,"Chicago, IL, US",Associate,Corporate,501+,,Unpaid Overtime,,"1,000",Full-time,8-10,36-40,Male,Licensed,University of Kentucky,,,2014-08-01,2014
5946,9,67500,year,"New York, NY, US",Intermediate Architect,Starchitect,31-50,Yes,No Overtime,20.0,,Full-time,3-5,31-35,Male,No,,,,2014-08-01,2014
5945,7,70000,year,"New York, NY, US",Job Captain,Starchitect,31-50,Yes,Unpaid Overtime,,,Full-time,6-7,36-40,Male,Licensed,Washington University in St. Louis,University of Pennsylvania,,2014-08-01,2014
5944,7,75000,year,"San Francisco, CA, US",Engineer,,501+,,,,,,6-7,31-35,Male,No,,,,2014-08-01,2014
5943,6,60000,year,"New York, NY, US",Junior Designer,Boutique,16-30,,Unpaid Overtime,15.0,,Full-time,3-5,26-30,Female,No,Washington University in St. Louis,Cornell University,,2014-08-01,2014
5942,3,60000,year,"San Francisco, CA, US",Designer,Boutique,11-15,Yes,No Overtime,14.0,,Full-time,3-5,26-30,Female,No,"University of California, Berkeley",Cornell University,,2014-08-01,2014
5941,8,58000,year,"New York, NY, US",Junior Architect,Boutique,51-100,Yes,,,,,6-7,26-30,Male,No,"University of California, Los Angeles (UCLA)",,,2014-08-01,2014
5940,9,64000,year,"New York, NY, US",Designer,Starchitect,31-50,Yes,Unpaid Overtime,15.0,"5,000",Full-time,3-5,26-30,Female,No,"University of California, Berkeley",,,2014-08-01,2014
5939,10,64000,year,"New York, NY, US",Designer,Starchitect,51-100,Yes,Unpaid Overtime,20.0,,Full-time,3-5,26-30,Female,Licensed,Ball State University,University of Pennsylvania,,2014-08-01,2014
5938,6,55000,year,"Los Angeles, CA, US",Business Manager,Boutique,16-30,Yes,Unpaid Overtime,7.0,,Full-time,6-7,26-30,Male,Licensed,"California State Polytechnic University, Pomona",,,2014-08-01,2014
5937,7,115000,year,"San Francisco, CA, US",Senior Architect,Starchitect,31-50,Yes,Unpaid Overtime,20.0,"5,000",Full-time,8-10,31-35,Male,Licensed,The Ohio State University,Massachusetts Institute of Technology (MIT),,2014-08-01,2014
5936,10,122000,year,"Los Angeles, CA, US",Project Manager,Other,31-50,Yes,Unpaid Overtime,15.0,,Full-time,> 40,61-65,Male,Licensed,University of Arizona,,,2014-08-01,2014
5935,8,47000,year,"New York, NY, US",Junior Architect,Boutique,6-10,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,No,University of Massachusetts Amherst,City College of New York (CCNY),,2014-08-01,2014
5934,7,90000,year,"Cambridge, MA, US",Senior Architect,Individual,2-5,,No Overtime,14.0,,Full-time,11-15,36-40,Male,Licensed,Roger Williams University,,,2014-08-01,2014
5931,8,78000,year,"Chelmsford, MA, US",Engineer,Corporate,501+,,Unpaid Overtime,21.0,,Full-time,8-10,31-35,Male,No,,,,2014-08-01,2014
5930,10,43000,year,"Atlanta, GA, US",Intern,Corporate,51-100,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Female,No,,,,2014-08-01,2014
5929,9,98000,year,"San Francisco, CA, US",Project Architect,Corporate,501+,Yes,Paid Overtime,14.0,,Full-time,8-10,31-35,Male,Licensed,,,,2014-08-01,2014
5928,9,48000,year,"New York, NY, US",Designer,Corporate,51-100,Yes,Unpaid Overtime,10.0,"3,000",Full-time,2,26-30,Female,No,,,,2014-08-01,2014
5927,10,125000,year,"New York, NY, US",Principal,,31-50,,,,,,21-25,46-50,Male,No,,,,2014-08-01,2014
5926,5,97000,year,"New York, NY, US",Associate,Boutique,11-15,Yes,No Overtime,20.0,"4,000",Full-time,11-15,41-45,Male,Licensed,,,,2014-08-01,2014
5925,8,31200,hour,"Los Angeles, CA, US",Intern,Corporate,31-50,,Paid Overtime,,,Full-time,3,21-25,Male,No,Georgia Institute of Technology,University of Southern California (USC),,2014-08-01,2014
5924,8,47000,year,"Fort Wayne, IN, US",Project Architect,Corporate,31-50,Yes,Unpaid Overtime,14.0,"5,000",Full-time,3-5,26-30,Male,No,Ball State University,Ball State University,,2014-08-01,2014
5923,10,38000,year,"Los Angeles, CA, US",Associate,,1,,,,,,1,26-30,Female,No,,,,2014-08-01,2014
5922,7,66000,year,"San Francisco, CA, US",Job Captain,Boutique,16-30,Yes,No Overtime,15.0,"3,000",Full-time,3-5,31-35,Female,No,,,,2014-08-01,2014
5920,7,70000,year,"Minneapolis, MN, US",Project Architect,Corporate,201-500,Yes,Unpaid Overtime,21.0,"5,000",Full-time,8-10,31-35,Male,Licensed,,,,2014-08-01,2014
5919,10,47000,year,"Dallas, TX, US",Intern,Other,31-50,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Female,No,The University of Texas at Arlington,The University of Texas at Arlington,,2014-08-01,2014
5918,3,66000,year,"New York, NY, US",Junior Architect,Corporate,201-500,Yes,,,"3,000",Full-time,3-5,31-35,Female,No,,,,2014-08-01,2014
5917,7,62000,year,"Phoenix, AZ, US",Project Manager,Other,16-30,,Unpaid Overtime,10.0,"8,000",Full-time,8-10,31-35,Male,No,University of Idaho,University of Idaho,,2014-08-01,2014
5916,9,41600,hour,"Tucson, AZ, US",Intern,,11-15,,Unpaid Overtime,,,Full-time,< 1,21-25,Female,No,,,,2014-08-01,2014
5915,8,60000,year,"San Francisco, CA, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,10.0,"3,000",Full-time,3-5,26-30,Male,No,,University of Michigan,,2014-08-01,2014
5914,5,80000,year,"Orlando, FL, US",Project Manager,Corporate,16-30,Yes,Unpaid Overtime,10.0,,Full-time,26-30,51-55,Male,Licensed,University of Florida,University of Florida,,2014-08-01,2014
5912,6,32000,year,"Indiana, US",Junior Architect,Other,16-30,Yes,Paid Overtime,16.0,750,Full-time,2,21-25,Male,No,Ball State University,,,2014-08-01,2014
5911,8,45760,hour,"Chicago, IL, US",Intern,Corporate,501+,,Paid Overtime,,,Full-time,2,21-25,Male,No,Ball State University,University of Michigan,,2014-08-01,2014
5910,8,32000,year,"Philadelphia, PA, US",Intern,Corporate,51-100,Yes,Paid Overtime,10.0,"2,500",Full-time,3,21-25,Male,No,Drexel University,,,2014-07-01,2014
5909,9,55000,year,"Phoenix, AZ, US",Intermediate Architect,Corporate,11-15,Yes,Unpaid Overtime,,,Full-time,3-5,26-30,Female,No,,Arizona State University,,2014-07-01,2014
5908,9,95000,year,"New York, NY, US",Senior Architect,Boutique,2-5,,Unpaid Overtime,10.0,,Full-time,11-15,31-35,Female,Licensed,University at Buffalo,University at Buffalo,,2014-07-01,2014
5907,4,50000,year,"Scottsdale, AZ, US",Project Manager,,101-200,Yes,Unpaid Overtime,10.0,,Full-time,8-10,31-35,Male,No,Arizona State University,,,2014-07-01,2014
5906,8,50000,year,"Phoenix, AZ, US",Intern,Individual,31-50,Yes,No Overtime,15.0,,Full-time,3,21-25,Female,No,Arizona State University,Arizona State University,,2014-07-01,2014
5905,4,36360,year,"Las Vegas, NV, US",Junior Architect,Other,101-200,Yes,Paid Overtime,10.0,,Full-time,< 1,21-25,Male,No,The University of Texas at Arlington,Arizona State University,,2014-07-01,2014
5904,9,42000,year,"Dallas, TX, US",Designer,Other,2-5,Yes,No Overtime,14.0,300,Full-time,2,21-25,Male,No,The University of Texas at Arlington,,,2014-07-01,2014
5903,7,48000,year,"Dallas, TX, US",Designer,,201-500,,,,,,2,21-25,Female,No,,,,2014-07-01,2014
5901,7,35000,year,"Jersey City, NJ, US",Draftsperson,Individual,6-10,,No Overtime,5.0,"2,000",Full-time,2,21-25,Male,No,New Jersey Institute of Technology (NJIT),,,2014-07-01,2014
5900,1,45000,year,"San Francisco, CA, US",Designer,,2-5,,,,,,2,26-30,Male,No,,,,2014-07-01,2014
5899,10,75000,year,"Austin, TX, US",Project Architect,Boutique,6-10,Yes,Paid Overtime,10.0,,Full-time,11-15,36-40,Female,No,,,,2014-07-01,2014
5898,6,18720,hour,"Philadelphia, PA, US",Intern,Other,6-10,,No Overtime,,,Full-time,1,21-25,Female,No,Temple University,,,2014-07-01,2014
5889,7,47000,year,"Boston, MA, US",Junior Architect,Corporate,501+,Yes,Unpaid Overtime,14.0,"1,000",Full-time,3,26-30,Female,No,,University of Pennsylvania,,2014-07-01,2014
5888,5,25000,year,"New York, NY, US",Junior Architect,Boutique,6-10,Yes,No Overtime,10.0,,,1,21-25,Male,No,University of Oregon,,,2014-07-01,2014
5887,5,50000,year,"Chicago, IL, US",Junior Architect,Corporate,501+,Yes,Unpaid Overtime,16.0,,Full-time,3-5,26-30,Male,No,University of Michigan,University of Michigan,,2014-07-01,2014
5886,8,39520,hour,"Philadelphia, PA, US",Intern,Starchitect,31-50,,Paid Overtime,,,Full-time,2,21-25,Male,No,The Pennsylvania State University (Penn State),,,2014-07-01,2014
5885,8,45000,year,"Indianapolis, IN, US",Designer,Corporate,201-500,Yes,No Overtime,15.0,"1,500",Full-time,< 1,26-30,Male,No,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,,2014-07-01,2014
5884,10,45000,year,"Nashville, TN, US",Intern,Individual,11-15,Yes,Paid Overtime,10.0,,Full-time,3-5,21-25,Male,No,The University of Tennessee - Knoxville,,,2014-07-01,2014
5883,10,47500,year,"Philadelphia, PA, US",Junior Architect,,16-30,Yes,Unpaid Overtime,10.0,"2,000",Full-time,3-5,26-30,Male,No,Drexel University,,,2014-07-01,2014
5882,1,28000,year,"Philadelphia, PA, US",Student Intern,Individual,2-5,,No Overtime,25.0,,,1,21-25,Male,No,Drexel University,,,2014-07-01,2014
5881,7,62000,year,"Los Angeles, CA, US",Junior Designer,Corporate,501+,Yes,Paid Overtime,10.0,,Full-time,3,26-30,Male,No,Southern California Institute of Architecture (SCI-Arc),,,2014-07-01,2014
5879,6,22880,hour,"Harvey Cedars, NJ, US",Intern,Individual,6-10,,Paid Overtime,,,Full-time,< 1,18-20,Female,No,Drexel University,,,2014-07-01,2014
5878,7,29000,year,"Atlanta, GA, US",Intern,Boutique,101-200,,Paid Overtime,,,Full-time,3,21-25,Female,No,Ball State University,Georgia Institute of Technology,,2014-07-01,2014
5877,7,52000,year,"New York, NY, US",Junior Architect,Other,31-50,Yes,Unpaid Overtime,13.0,"2,000",Full-time,3-5,21-25,Female,No,,,,2014-07-01,2014
5876,6,51000,year,"Philadelphia, PA, US",Junior Architect,Corporate,16-30,Yes,Unpaid Overtime,10.0,"4,000",Full-time,3-5,21-25,Female,No,Drexel University,,,2014-07-01,2014
5875,10,41000,year,"Columbia, SC, US",Intern,,2-5,Yes,Paid Overtime,10.0,,Full-time,1,21-25,Male,No,,,,2014-07-01,2014
5874,6,40000,year,"Philadelphia, PA, US",Junior Architect,Corporate,31-50,Yes,Unpaid Overtime,10.0,,Full-time,3-5,21-25,Female,No,Drexel University,,,2014-07-01,2014
5873,10,50000,year,"Philadelphia, PA, US",Junior Designer,Other,16-30,Yes,Unpaid Overtime,10.0,500,Full-time,2,21-25,Female,No,Drexel University,,,2014-07-01,2014
5870,8,45000,year,"Atlanta, GA, US",Intern,Corporate,101-200,Yes,Unpaid Overtime,10.0,"1,000",Full-time,1,21-25,Female,No,Georgia Institute of Technology,,,2014-07-01,2014
5868,9,31200,hour,"Philadelphia, PA, US",Student Intern,Other,51-100,Yes,Paid Overtime,10.0,,Full-time,3,21-25,Female,No,Drexel University,,,2014-07-01,2014
5867,4,40000,year,"Dallas, TX, US",Intern,Corporate,31-50,Yes,Unpaid Overtime,14.0,300,Full-time,< 1,21-25,Female,No,Texas Tech University,,,2014-07-01,2014
5865,5,54000,year,"Phoenix, AZ, US",Job Captain,Corporate,501+,Yes,Paid Overtime,2.0,,Full-time,11-15,31-35,Male,No,Maricopa Skill Center,,,2014-07-01,2014
5864,9,31200,hour,"Chicago, IL, US",Intern,Corporate,501+,,Paid Overtime,,,Full-time,< 1,21-25,Male,No,,,,2014-07-01,2014
5863,9,75000,year,"New York, NY, US",Associate,Corporate,201-500,Yes,Paid Overtime,15.0,"10,000",Full-time,8-10,31-35,Male,No,,Cornell University,,2014-07-01,2014
5862,5,58000,year,"New York, NY, US",Project Manager,Starchitect,31-50,Yes,Unpaid Overtime,10.0,"3,000",Full-time,3-5,31-35,Female,No,,Columbia University,,2014-07-01,2014
5860,10,56000,year,"New York, NY, US",Intermediate Architect,Starchitect,16-30,Yes,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,University of Florida,Washington University in St. Louis,,2014-07-01,2014
5859,7,68000,year,"New York, NY, US",Interior Designer,Corporate,31-50,Yes,No Overtime,14.0,,Full-time,8-10,31-35,Female,No,,,,2014-07-01,2014
5858,7,93000,year,"New York, NY, US",Associate,,101-200,,,15.0,,Full-time,8-10,31-35,Female,No,,,,2014-07-01,2014
5856,7,41600,hour,"Fort Myers, FL, US",CAD Manager,Starchitect,6-10,Yes,Paid Overtime,7.0,,Full-time,3-5,31-35,Female,No,,,,2014-07-01,2014
5855,10,65000,year,"Dallas, TX, US",Project Architect,,6-10,Yes,,,,Full-time,3-5,26-30,Female,Licensed,,,,2014-07-01,2014
5854,8,50000,year,"Washington, DC, US",Junior Architect,Other,16-30,Yes,Unpaid Overtime,10.0,,Full-time,3-5,36-40,Male,No,University of Maryland,University of Maryland,,2014-07-01,2014
5853,7,46000,year,"San Francisco, CA, US",Junior Designer,,51-100,Yes,Unpaid Overtime,10.0,"1,500",Full-time,< 1,21-25,Male,No,,,,2014-07-01,2014
