 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
14356,6,80000,year,"San Francisco, CA, US",Designer,Individual,6-10,Yes,Unpaid Overtime,10.0,,Full-time,8-10,31-35,Female,No,,,,2020-07-01,2020
14355,8,86000,year,"Denver, CO, US",Senior Architect,Other,6-10,,No Overtime,,,Full-time,31-40,56-60,Male,Licensed,University of Colorado at Boulder,"University of California, Berkeley",,2020-06-01,2020
14354,2,45000,year,"Cleveland, OH, US",Junior Architect,Corporate,501+,Yes,Unpaid Overtime,5.0,,Full-time,2,46-50,Male,No,Kent State University,Kent State University,,2020-06-01,2020
14353,9,75000,year,"Culver City, CA, US",Intermediate Architect,,501+,Yes,Unpaid Overtime,18.0,"2,000",Full-time,3,26-30,Male,No,,,,2020-06-01,2020
14352,8,80537,year,"Los Angeles, CA, US",Intermediate Architect,Corporate,201-500,Yes,Paid Overtime,15.0,,Full-time,6-7,26-30,Female,No,"University of California, Berkeley",,,2020-06-01,2020
14351,7,65894,year,"Los Angeles, CA, US",Junior Architect,Corporate,101-200,Yes,Paid Overtime,15.0,,Full-time,3-5,26-30,Female,Licensed,University of Southern California (USC),,,2020-06-01,2020
14350,5,50000,year,"Cranbury, NJ, US",Intermediate Designer,Individual,6-10,,Paid Overtime,7.0,,Full-time,3-5,26-30,Male,No,Sri Venkateshwara College of Architecture,University of Virginia,,2020-06-01,2020
14349,4,56600,year,"Washington, DC, US",Junior Designer,,501+,,,,,,3-5,26-30,Male,No,,,,2020-06-01,2020
14347,7,85000,year,"Englewood Cliffs, NJ, US",Job Captain,Individual,16-30,,Unpaid Overtime,15.0,"1,500",Full-time,8-10,41-45,Female,No,,,,2020-06-01,2020
14346,9,70000,year,"Sebastopol, CA, US",Draftsperson,Individual,1,Yes,,,,,16-20,56-60,Female,No,,,,2020-06-01,2020
14344,6,112500,year,"New York, NY, US",Project Manager,Corporate,201-500,Yes,Unpaid Overtime,22.0,"25,000",Full-time,11-15,36-40,Male,Licensed,University of Cincinnati,University of Cincinnati,,2020-06-01,2020
