id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year,Latitude,Longitude
5677,7,64500,year,"New York, NY",Intermediate Architect,Corporate,501+,Yes,Paid Overtime,,,Full-time,3-5,26-30,Female,No,,,,2014-06-01,2014,40.7127281,-74.0060152
5675,6,63000,year,"Boston, MA",Designer,Individual,6-10,Yes,Unpaid Overtime,5.0,,Full-time,11-15,36-40,Female,No,Harvard University,Rensselaer Polytechnic Institute,,2014-06-01,2014,42.3554334,-71.060511
5674,4,65000,year,"Baton Rouge, LA",Project Manager,,6-10,Yes,No Overtime,,,Full-time,8-10,36-40,Male,Yes,Louisiana State University,,,2014-06-01,2014,30.4494155,-91.1869659
5673,7,50000,year,"Chicago, IL",Project Manager,,6-10,,,,,,3-5,41-45,Male,No,,,,2014-06-01,2014,41.8755616,-87.6244212
5672,10,65000,year,"San Francisco, CA",Intermediate Designer,Boutique,16-30,Yes,Paid Overtime,21.0,3500.0,Full-time,3-5,26-30,Male,No,The Cooper Union,,,2014-06-01,2014,37.7792588,-122.4193286
5671,7,27040,hour,"Minneapolis, MN",Student Intern,Corporate,101-200,,Paid Overtime,,,Full-time,1,21-25,Female,No,University of Minnesota,,,2014-06-01,2014,44.9772995,-93.2654692
5670,8,103000,year,"Rochester, NY",Project Manager,Boutique,11-15,Yes,Unpaid Overtime,,,Full-time,26-30,51-55,Male,No,,,,2014-06-01,2014,43.157285,-77.615214
5669,7,42000,year,"Portland, OR",Job Captain,Corporate,16-30,Yes,,26.0,,Full-time,3-5,26-30,Male,No,University of Oregon,,,2014-06-01,2014,45.5202471,-122.674194
5668,7,39500,year,"San Diego, CA",Intern,Boutique,11-15,Yes,Paid Overtime,7.0,850.0,Full-time,3-5,21-25,Female,No,Savannah College of Art and Design,Savannah College of Art and Design,,2014-06-01,2014,32.7174202,-117.162772
5667,4,61000,year,"New York, NY",Project Architect,Corporate,51-100,Yes,Unpaid Overtime,10.0,,Full-time,8-10,31-35,Male,No,McGill University,McGill University,,2014-06-01,2014,40.7127281,-74.0060152
5665,5,48750,year,"New Britain, CT",Junior Architect,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,6-7,26-30,Female,No,Roger Williams University,,,2014-06-01,2014,41.6612104,-72.7795419
5662,7,42000,year,"Pittsburgh, PA",Junior Architect,Individual,2-5,Yes,Unpaid Overtime,10.0,2000.0,Full-time,6-7,31-35,Male,No,Roger Williams University,,,2014-06-01,2014,40.4416941,-79.9900861
5661,8,45000,year,"Denver, CO",Intern,Individual,16-30,Yes,Unpaid Overtime,10.0,2000.0,Full-time,3-5,26-30,Female,No,Iowa State University,,,2014-06-01,2014,39.7392364,-104.984862
